	0	7	14	21	1m	2m	3m	6m	12m
Cow_19010          Cow_22477	1	1	1	1	1	1	1	1	1
Cow_19073          Cow_22472	1	1	1	1	1	1	1	1	1
Cow_19136          Cow_22434	1	1	1	1	1	1	1	1	1
Cow_19149          Cow_22417	1	1	1	1	1	0	0	0	0
Cow_19220          Cow_22407	1	1	1	1	1	1	1	1	1
Cow_19328          Cow_22464	1	1	1	1	1	1	1	1	1
Cow_19371          Cow_22459	1	1	1	1	1	1	0	0	0
Cow_19397          Cow_22409	1	1	1	1	1	1	1	0	0
Cow_19442          Cow_22469	1	1	1	1	1	1	1	1	1
Cow_19450          Cow_22438	1	1	1	1	1	1	1	1	1
Cow_19530          Cow_22453	1	1	1	1	1	1	1	1	1
Cow_19548          Cow_22215	1	1	1	1	1	1	1	1	1
Cow_19606          Cow_22468	1	1	1	1	1	1	1	1	1
Cow_19656          Cow_22433	1	1	1	1	1	1	1	1	1
Cow_19728          Cow_22460	1	1	1	1	1	1	1	0	0
Cow_19803          Cow_22463	1	1	1	1	1	1	1	1	1
Cow_19829          Cow_22448	1	1	1	1	1	1	1	1	1
Cow_19872          Cow_22410	1	1	1	1	1	1	1	1	1
Cow_19002          Cow_22430	1	1	1	1	1	1	0	0	0
Cow_19008          Cow_22415	1	1	1	1	0	0	0	0	0
Cow_19021          Cow_22450	1	1	1	1	1	1	1	1	1
Cow_19032          Cow_22436	1	1	1	1	1	1	1	1	1
Cow_19034          Cow_22413	1	1	1	1	1	1	1	1	1
Cow_19054          Cow_22400	1	1	1	1	1	1	0	0	0
Cow_19060          Cow_22455	1	1	1	1	1	1	1	1	1
Cow_19123          Cow_22200	1	1	1	1	1	1	1	1	1
Cow_19139          Cow_22432	1	1	1	1	1	1	0	0	0
Cow_19248          Cow_22427	1	1	1	1	1	1	1	1	1
Cow_19435          Cow_22467	1	1	1	1	1	1	1	1	1
Cow_19172          Cow_22420	1	1	1	1	0	0	0	0	0
Cow_19175          Cow_22416	1	1	1	1	1	1	1	1	1
Cow_19376          Cow_22437	1	1	1	1	1	1	1	1	1
Cow_19095          Cow_22408	1	1	1	1	0	0	0	0	0
Cow_19150          Cow_22418	1	1	1	1	1	1	1	1	1
Cow_19153          Cow_22424	1	1	1	1	1	1	1	1	1
Cow_19177          Cow_22440	1	1	1	1	1	1	0	0	0
Cow_19194          Cow_22454	1	1	1	1	1	1	1	0	0
Cow_19398          Cow_22406	1	1	1	1	1	1	1	1	1
Cow_19132          Cow_22212	1	1	1	1	1	1	1	1	1
Cow_19363          Cow_22404	1	1	1	1	1	0	0	0	0
Cow_19191          Cow_22405	1	1	1	0	0	0	0	0	0
Cow_19152          Cow_22447	1	1	1	1	1	1	1	1	1
Cow_19203          Cow_22441	1	1	1	1	1	1	1	1	1
Cow_19225          Cow_22411	1	1	1	1	1	1	1	1	1
Cow_19229          Cow_22473	1	1	1	1	1	1	1	1	1
Cow_19232          Cow_22419	1	1	1	1	1	1	1	1	1
Cow_19845          Cow_22439	1	1	1	1	1	1	1	1	1
Cow_19233          Cow_22443	1	1	1	1	1	1	1	1	1
Cow_19241          Cow_22428	1	1	1	1	1	1	0	0	0
Cow_19292          Cow_22412	1	1	1	1	0	0	0	0	0
Cow_19296          Cow_22461	1	1	1	1	1	1	0	0	0
Cow_19298          Cow_22435	1	1	1	1	0	0	0	0	0
Cow_19301          Cow_22422	1	1	1	1	1	1	1	1	1
Cow_19302          Cow_22482	1	1	1	1	1	1	1	1	1
Cow_19336          Cow_22414	1	1	1	1	0	0	0	0	0
