Platelet count (x 109 /L) (surviving calves)	Platelet count (x 109 /L) (dead calves)	White blood cells (x 109 /L) (surviving calves)	White blood cells (x 109 /L) (dead calves)	Red blood cells (x 1012 /L) (surviving calves)	Red blood cells (x 1012 /L) (dead calves)	Mean corpuscular volume (fL) (surviving calves)	Mean corpuscular volume (fL) (dead calves)	Mean corpuscular hemoglobin (pg) (surviving calves)	Mean corpuscular hemoglobin (pg) (dead calves)	Mean corpuscular hemoglobin concentration (g/L) (surviving calves)	Mean corpuscular hemoglobin concentration (g/L) (dead calves)
421	630	13.84	33.5	10.17	9.75	45.5	44.2	14.7	12.5	322	283
423	509	9.15	14.12	6.77	9.07	42.6	42.3	14.6	13.3	343	316
688	383	7.96	9.86	9.99	7.65	39.1	44.3	10.7	14.4	274	324
354	764	8.75	12.43	8.2	9.9	45.4	40.6	15.7	11.5	347	284
452	618	9.45	14	9.68	6.5	44.7	43.9	13.8	20.9	309	476
588	529	19.11	14.14	10.62	8.19	42.6	42.3	12.8	14.5	301	343
566	559	11.56	11.92	8.11	8.21	41	42	11.7	12.5	285	299
459	546	7.36	17.02	9.64	9.01	44.5	44.6	14.2	13	319	291
436	674	12.58	11.05	9.85	8.13	46.3	38.9	14.1	10.9	304	282
380	552	10.06	10.66	8.52	10.54	44.2	42.8	15.1	12.5	343	291
439	551	25.59	22.94	9.81	10.38	44.9	41.4	12.9	11.9	288	288
966	393	10.65	9.22	9	9.08	40.2	43.3	23.5	15.3	347	354
488	431	14.99	15.19	10.05	8.42	44.3	43.3	12.6	13.6	285	290
558	999	9.57	8.85	10.68	5.86	42.6	38.5	12.6	15.5	297	403
740	539	6.32	8.98	7.77	7.6	41.8	42	12	13.8	286	329
438	753	6.58	12.3	10.71	6.12	44.6	42.3	13.2	21.9	295	400
996	393	19.6	11.79	10.82	9.03	42.4	43.8	14	13.5	331	308
728	553	6.49	4.67	10	10.44	42.9	40.5	12.2	13.1	285	324
660	564	7.65	25.21	7.49	9.13	38.5	40.9	13	12.4	337	303
709	648	6.51	22.55	8.88	10.35	41.5	41.3	11.4	13.4	274	325
559	682	7.01	5.27	10.9	10.05	43.5	41.8	12.8	14.4	295	345
562	481	11.01	9.5	8.12	7.53	43.6	38.6	12.9	12.1	297	313
744	589	6.54	25.74	9.85	10.92	41.8	40.6	12.5	12.5	299	306
486	516	15.68	9.34	8.99	10.19	41.3	41.9	11.8	21.6	285	304
591	490	10.74	6.52	9.98	11.89	40	43.1	10.9	13.3	273	309
926	729	13.94	11.45	7.27	10.47	40.8	39.1	14.4	12.9	355	329
534	1740	10.44	14.7	6.76	7.84	40.3	40.2	13.3	16	331	316.6
222	1315	12.14	14.7	8.8	10	34.8	39.9	12.6	12.8	288	400
569	1035	10.52	6.82	9.13	7.15	40.8	39.6	12	16.3	296	321
514	1032	9.79	11.9	10.32	5.81	42.3	39	12.4	20.8	294	413
776	870	9.46	13.1	8.19	10.41	40.8	42.4	10.9	11.9	266	499
702	657	11.89	11.81	6.88	6.51	36.5	41.6	11.2	15.8	307	340
1311	620	11.1	9.9	7.78	6.14	40	39.2	15.8	19.1	395	381
1393	602	17.87	11.4	11.65	7.15	40	38.5	11.9	16.7	298	488
1206	560	6.31	12	11.52	8.41	39.5	41.9	11.8	15.1	299	435
1062	500	7.66	5.9	11.16	6.04	40.8	43.3	13.3	22.1	325	363
988	893.1	15.2	18.8	10.4	7.546	36.7	40.56	11.2	16.66	304	490
923		10.1		8.12		40.5		15.7		390	
880		11.3		8.55		40.3		16.8		419	
847		7.8		7.79		41.7		15.2		366	
817		17.14		9.08		42.9		13.8		321	
808		8.28		10.62		44		13.7		313	
780		10.55		10.73		39.4		11.6		298	
778		5.7		11		41.6		13		313	
765		7.4		7.86		40.6		14.5		358	
763		5.17		10.81		42.6		13		306	
733		8.1		7.57		46.5		15.9		344	
728		9.9		7.62		42.8		15.7		367	
723		18.17		10.08		42.6		13.8		324	
673		8		7.71		40.1		14.4		360	
666		14.28		11.26		40.2		11.8		294	
658		18.63		10.94		39.9		12.2		304	
616		6.59		8.88		42.7		13.7		322	
613		20.76		11.04		44.1		14.2		323	
598		6.4		8.91		41.6		13.1		316	
556		2.5		8.93		47.5		14.8		312	
550		14.66		10.51		39.9		11.9		298	
