Compounds	7d	14d	21d	1m	2m	3m	6m	12m	mo
Phenethylamine	3.399789853	3.194956125	3.436273255	3.233212493	3.129162714	3.177119007	3.07845923	3.467737748	3.180053946
2-Hydroxycinnamic acid	5.496899136	5.534194333	5.724593614	5.601931597	5.556220428	5.514026164	5.510263138	5.495875527	5.333567375
L-Tyrosine	5.771630341	5.817823169	6.014655935	5.880111845	5.834346873	5.793937433	5.792239018	5.769988988	5.624336159
Phenylacetylglycine	4.752450123	4.893058511	4.965574006	5.117514227	5.432774116	5.514037756	5.840256345	5.391245239	5.405049411
"cis-2-Hydroxypenta-2,4-dienoic acid"	4.547189199	4.505342856	4.496921275	4.49514254	4.52203043	4.454544523	4.404208855	4.41469511	4.148772483
3-Hydroxycinnamic acid	5.056742867	5.101728067	5.107752914	5.127483102	5.064875419	5.030498385	5.012740713	5.007318422	4.821388149
Pyruvic acid	3.412022064	3.181038604	3.151672983	3.150810653	3.591425433	3.438619103	3.185072983	3.474456941	3.740378619
Phenylacetaldehyde	3.83176733	3.821039806	3.834384364	3.784037259	3.625232378	3.612052542	4.000393116	4.056438102	4.522585402
2-Phenylethanol	3.661573761	3.855157131	3.933201175	3.918074517	4.020054854	3.64699681	3.611605977	3.348614947	3.461896174
D-Phenyllactic acid	4.546339949	4.672329844	4.541263833	4.404568163	4.069909146	3.797722531	3.731005257	3.465274854	3.803455263
D-phenylalanine	5.97388239	5.999184286	5.988561915	5.999447753	5.979614411	5.920216323	5.923525904	5.920908176	5.914244006
3-Hydroxyphenylacetic acid	3.373594307	3.573538328	3.544012347	3.452932291	3.553459824	3.243598709	3.077355887	3.368839421	3.305936566
ortho-Hydroxyphenylacetic acid	3.045192993	3.129345944	3.307353158	3.155067127	3.200085717	3.407939571	3.24336698	3.088364277	3.262375449
Phenylglyoxylic acid	3.282245877	3.126249087	2.950827776	3.030472723	3.201149714	3.391898797	3.61826396	3.483590488	3.480582293
Hydrocinnamic acid	3.527126019	3.544089287	3.526108337	4.01443824	4.472781649	4.592310174	5.009209008	5.26989624	4.914814364
3-(2-Hydroxyphenyl)propanoic acid	3.408425609	3.870594997	3.789001208	4.250282916	4.871180263	5.071420638	5.44338154	4.830791636	4.267405962
L-3-Phenyllactic acid	3.613001503	3.333094406	3.365686767	3.499891359	3.540535054	3.490239479	3.632436386	3.641070317	3.682148349
Fumaric acid	3.452755788	3.578129036	3.631671482	3.684654177	3.698474195	3.331056802	3.238342114	3.439371062	3.378991947
thromboxane A2	4.733664523	4.663410976	4.56330299	4.556773455	4.310924159	3.978056983	3.95470152	4.35129463	4.154217316
5-trans-PGF2alpha	4.252732788	4.170342183	4.208202922	4.080446242	4.089230621	4.180506739	4.47979558	4.155020594	4.452237136
5-Hydroxyindoleacetic acid	4.224029692	4.290868143	4.315901582	4.404410437	4.014820871	3.348447473	3.205388208	3.314754798	3.395719094
Arachidonic acid	3.497937767	3.458910218	3.457149511	3.498776512	3.552951224	3.504410209	3.313960938	3.137151132	3.698064843
Serotonin	4.50214474	4.450424472	4.270047107	4.606540715	4.462724224	4.542132324	4.342239251	4.710791652	4.555087427
5-hydroxy-L-tryptophan	4.073377269	4.059763771	4.074652836	4.056562573	4.02314382	4.126645296	4.154152274	4.088653295	3.724787781
Prostaglandin h2	3.9452082	3.90900392	3.799113644	3.809384771	3.586226348	3.297378776	3.374536376	3.474055532	3.543589953
prostaglandin D2	4.789422357	4.751562354	4.644350735	4.644885175	4.379441933	4.029684596	4.301451526	4.33858927	4.408018744
prostaglandin B2	4.397356387	4.370968222	4.242530946	4.284709895	4.054504911	3.815841336	3.912055459	4.120718363	3.871756707
prostaglandin A2	4.098610032	4.027081589	3.896029622	3.969082395	3.684302615	3.363647435	3.878555416	3.639229043	3.472287898
"(Z)-7-[(2R,3S,4S,6S)-4,6-dihydroxy-2-[(E,3S)-3-hydroxyoct-1-enyl]oxan-3-yl]hept-5-enoic acid"	4.908753102	4.872851515	4.860826135	4.846843302	4.826073814	4.805997236	4.835462269	5.214134495	4.896736856
L-Tryptophan	5.704701041	5.772231468	5.74158014	5.731793049	5.714851432	5.715756351	5.649437961	5.699751206	5.399673336
leukotriene C4	4.349878661	4.3403901	4.315141978	4.431489437	4.411391916	4.556557243	4.430488073	4.304518014	4.016400875
thromboxane B2	4.710863809	4.722667435	4.470015377	4.56199929	4.38430681	3.985548042	4.035258301	4.309932495	4.181046127
Picolinic acid	3.559881859	3.484050602	3.429484183	3.755398987	4.156718846	4.314531185	4.715887961	4.79871228	4.640215791
2-Aminophenol	3.633438527	3.808272091	3.854381664	3.879498768	3.842386739	3.256989626	3.220156515	3.259761131	3.471899144
Indole-3-acetamide	4.258772732	4.29365797	4.385480261	4.384833696	4.410144308	4.391601264	4.36670086	4.377189706	4.150038728
3-Indoleacetonitrile	4.326113533	4.389111343	4.415426227	4.374346449	4.335272752	4.307340091	4.325398388	4.314934729	4.070759543
Xanthurenic acid	4.366705402	4.550601642	4.631285174	4.659461065	4.603048326	3.887602208	3.574285418	3.890345035	4.151800577
3-Hydroxyanthranilic acid	2.915810706	2.862574155	2.877060152	2.953388396	3.419541263	3.164055189	3.408370742	3.417924477	3.474364976
5-Hydroxyindoleacetic acid	4.224029692	4.290868143	4.315901582	4.404410437	4.014820871	3.348447473	3.205388208	3.314754798	3.395719094
Serotonin	4.50214474	4.450424472	4.270047107	4.606540715	4.462724224	4.542132324	4.342239251	4.710791652	4.555087427
5-hydroxy-L-tryptophan	4.073377269	4.059763771	4.074652836	4.056562573	4.02314382	4.126645296	4.154152274	4.088653295	3.724787781
"4,6-Dihydroxyquinoline"	3.412827469	3.412445995	3.45422599	3.453524628	3.594550645	3.741264767	3.818947913	3.28406314	3.475747114
5-Methoxyindoleacetate	5.965623076	5.944651352	6.126944479	6.005918619	6.035068089	5.914974192	5.922312103	5.838816591	5.801066196
