Blood metabolites	Coef	(-Log10 Pvalue)	VIP
Erythritol	-0.659875516	3.315664606	2.703269006
Frutinone A	-0.820118979	4.705533774	2.635651155
Taurohyodeoxycholic acid	0.224628071	1.656338781	2.717829368
Glycolithocholic acid	0.239667505	1.46688173	2.629608933
Ruscogenin	-1.491024631	3.097485291	2.697405113
3-Methylcrotonylglycine	-0.81314817	2.859280204	3.070655342
Androsterone.Enanthate	-1.224764972	3.873381624	3.069179117
alpha-D-glucose-6-phosphate	-0.494810254	2.754870717	2.342205817
N-Acetylvaline	-0.870165512	2.688023752	2.939713181
Testosterone enanthate	-1.371685596	2.084340246	3.003065173
Metabolite M6	-1.120686783	1.932807878	2.618148442
Australigenin	-1.062434542	4.202040356	2.969990185
Fenpropathrin	-0.79823829	4.153662888	2.673958678
Androstanedione	-0.964171997	4.12090412	2.807500312
Zingerone	-0.708971297	3.656709598	2.63735555
Siduron	-1.939566786	3.575396009	2.99804137
Digitogenin	-1.386929427	2.814419318	2.859879293
Ponasterone A	-0.704941192	2.762212542	2.982765306
Debromoaplysiatoxin	-0.722645877	2.156889614	2.659986248
Ebastine	-1.453660657	2.126906954	2.659980406
