Rumen microbiota	Coef	(-Log10 Pvalue)	Relative abundance
Porphyromons canoris	0.569447144	8.155522824	0.215767258
Eggerthella lenta	0.328886952	4.995678626	0.1366101
Porphyromons lovean	0.026299671	4.573488739	1.638201906
Streptococcus suis	0.202640071	3.974186389	0.191919197
Butyrivibrio fibrisolvens	-0.65937451	2.888187907	1.052168963
Prevotella ruminicola	-0.022851962	1.961426051	11.4112002
Roseburia hominis	0.313771997	1.82886128	0.035187291
Bacteroides heparinolyticus	0.023899958	1.770234096	2.715211973
Schwartzia succinivorans	-0.206930914	0.899321133	0.579959164
Treponema berlinense	0.329270155	0.801207794	0.110151639
Blautia producta	0.752377069	0.236963502	0.006057726
Trueperella pyogenes	0.305243028	3.888616492	0.077022943
Bacteroides pyogenes	0.033594409	2.523900103	1.276123545
Clostridium clostridioforme	0.541179591	2.289463696	0.09112204
Pseudoscardovia suis	-0.100833017	0.545907775	0.49305913
Enterococcus cecorum	0.133315683	2.122343519	0.348454013
Megasphaera elsdenii	0.033893843	2.104865366	2.09860806
Faecalicoccus pleomorphus	0.021389098	1.995698148	3.605023177
Streptococcus gallolyticus	0.052758361	1.950193171	0.768072375
Fusobacterium necrophorum	0.042097466	1.366414806	1.248759732
