	7d_S	7d_D	14d_S	14d_D	21d_S	21d_D	1m_S	1m_D	2m_S	2m_D	3m_S	3m_D	6m_S	6m_D
s__Prevotella_ruminicola	0.13325		1.756946						24.74814083		12.99933294		18.118485	
f__Bacteroidaceae				15.18694429	11.65522067				1.244198611			0.026202		0.334366667
g__Bacteroides			11.596766	15.18694429	11.65522067				1.244198611					0.334366667
f__Porphyromonadaceae		3.705394615		6.539630714		17.26996333			0.107490278			0.378419		
g__Porphyromonas		3.705394615		6.539630714		17.26620733			0.107490278			0.378419		
s__Bacteroides_heparinolyticus		14.30943462	7.102356667		5.717155333		2.888484706		0.338976944				0.014922353	
s__Porphyromonas_loveana		2.471727692		6.105016429		16.31648	0.17733		0.0753375			0.331462		
s__Porphyromonas_canoris		1.232334615										0.046958		0.064266667
f__Tannerellaceae			4.501733333		1.792840667		0.959124706							
g__Parabacteroides			4.501733333		1.792840667		0.959124706							
g__Megasphaera	0.615040588		1.166116667			4.145898		8.205638333		4.769700833	0.771208529		1.781382941	
s__Megasphaera_elsdenii	0.615040588		1.16584			4.145874		8.205587222		4.766795	0.770662059	0.002392	1.780795588	
f__Veillonellaceae	0.686438824		1.174038			4.161592		8.215438889			0.788740882		1.802943824	
o__Veillonellales	0.686438824		1.174038			4.161592		8.215438889			0.788740882		1.802943824	
s__Streptococcus_suis		2.09287					0.111516765		0.080147222					
g__Schwartzia			1.528063333		1.180209333		1.258096176		0.541676389		0.478245294		0.810570882	
s__Schwartzia_succinivorans			1.528063333		1.180209333		1.258096176		0.541676389		0.478245294		0.810570882	
f__Eubacteriaceae			1.568761333		1.343138						12.08426941			11.47182
g__Eubacterium			1.535960667		1.340227333						12.08426941			11.47182
s__Roseburia_hominis										0.65935				
f__Clostridiaceae		0.940011538			0.133754			1.085731667		1.8026675	0.729562647			0.69655
g__Cloacibacillus	0.326906471		2.447574667		6.003446667		7.983715		0.146858889		0.044443529			
s__Cloacibacillus_porcorum	0.326906471		2.447574667		6.003446667		7.983715		0.146858889		0.044443529			
s__Methanobrevibacter_sp_AbM4			1.413370667		2.135370667					6.188874167	1.294099118		0.527985588	
p__Proteobacteria	9.156445294						6.588385294		1.635749444			1.958781	0.582386471	
f__Desulfovibrionaceae	1.634288235		2.091636		3.031098		4.234264412							
o__Desulfovibrionales	1.634288235		2.091636		3.031098		4.234264412							
c__Deltaproteobacteria	1.634288235		2.091636		3.031098		4.234264412							
s__Desulfovibrio_piger	1.383246471		1.845834		2.786896		4.145338235							
g__Desulfovibrio	1.383246471		1.845834		2.786896		4.145343824							
s__Pseudoscardovia_suis					0.361740667			0.143823889			2.137546176			1.709396667
g__Eggerthella		1.578870769	0.164653333	0.316311429	0.127953333									
s__Eggerthella_lenta		1.578870769		0.316311429	0.127953333									
s__Bifidobacterium_merycicum								0.752515556		0.510780833	0.172869412		0.158534412	
s__Fusobacterium_necrophorum		0.761525385				3.771322667								4.143423333
