	7d	14d	21d	1m	2m	3m	6m	12m	mother
Streptococcus	0.533870924	0.057062214	-0.03116211	-0.127033722	-0.139635133	-0.154762448	-0.154827637	-0.16699181	0.089986083
Lactococcus	-0.124120206	-0.123907316	-0.124899833	-0.124814213	-0.124589736	-0.124899833	-0.124899833	-0.124899833	0.384074633
Enterococcus	1.173194842	0.033896261	-0.026314284	-0.129446867	-0.169999009	-0.227654578	-0.227838702	-0.227838702	0.162101003
Sharpea	-0.596061823	0.225985157	0.248128184	0.724955555	0.084085646	0.346244696	0.147776435	-0.518230256	-0.492694633
Faecalicoccus	1.586733884	1.648375101	0.52005411	0.115319174	-0.323215766	-0.345457305	-0.345468965	-0.345519562	-0.344772528
Butyrivibrio	-0.557192903	-0.349263451	-0.330821337	-0.328144164	0.140150504	0.417658168	-0.005279095	0.36278007	0.075252105
Pseudobutyrivibrio	-0.125878971	-0.436007908	-0.462655683	-0.010304974	0.287124433	-0.14936276	0.361995721	-0.073208219	0.039316164
Succiniclasticum	-0.923708604	-0.909533488	-0.813024423	-0.550960349	0.066532662	-0.110316373	0.515707233	0.861150081	0.446169267
Ruminococcus	-0.190313678	-0.282014198	-0.338726688	-0.295118749	0.125010414	0.604504717	-0.055597879	0.181111336	-0.089705364
Ruthenibacterium	2.463459889	0.943157632	0.454877487	0.341716284	-0.382770687	-0.38406612	-0.413563269	-0.415234216	-0.405809684
Blautia	2.143016131	1.290952213	0.277689239	-0.097936324	-0.294443393	-0.307106541	-0.307106541	-0.307106541	-0.306422574
Megasphaera	-0.188060913	-0.092343392	0.160083809	0.167590166	0.20751669	-0.160935787	0.014523454	-0.293801123	0.060811358
Escherichia	0.033901453	-0.107855091	-0.118236229	-0.126668259	-0.127960114	-0.130324996	-0.128719698	-0.130324996	0.181753134
Acinetobacter	-0.049114828	-0.258836546	-0.27986791	-0.081018132	-0.251450486	-0.280564616	-0.291236795	-0.254800191	0.933237532
Acidovorax	-0.211199542	-0.211199542	-0.211199542	-0.197410177	-0.210628748	-0.180015431	-0.211199542	-0.211199542	0.864106946
Desulfovibrio	0.168544299	0.355611771	0.736171294	1.285519004	-0.147802124	-0.389938831	-0.390831828	-0.390831828	-0.37189764
Parabacteroides	0.234653292	1.791412176	0.564477675	0.186864015	-0.242253457	-0.247550832	-0.247550832	-0.247550832	-0.244828288
Bacteroides	1.528098543	1.035090584	1.042159569	0.155296022	-0.216856357	-0.364598518	-0.362973098	-0.367318613	-0.362552957
Prevotella	-0.771170342	-0.683254514	-0.643281999	-0.174154665	0.600452079	0.117680533	0.302390931	0.782575505	-0.324437457
Porphyromonas	-0.065909078	0.001301683	1.451054196	-0.054843514	-0.086648649	-0.106312299	-0.099348829	-0.106975958	-0.105335684
Pseudoscardovia	-0.193622873	-0.19337662	-0.137362163	-0.193514964	-0.020087954	0.794616605	-0.008281009	-0.128605721	-0.137220309
Olsenella	-0.375717572	-0.313501335	0.451556116	0.03953425	0.325284952	0.861612626	-0.29893455	-0.348854783	-0.332766337
Collinsella	1.102424578	1.99452976	0.475834388	-0.081582302	-0.28196762	-0.285946981	-0.284805708	-0.286606932	-0.285914532
Bifidobacterium	-0.223413342	0.686780965	0.008294541	-0.113441401	0.280009892	0.017640719	0.113911417	-0.191061033	-0.2202048
Cloacibacillus	-0.236027886	0.173590378	0.860425837	1.242925126	-0.270805027	-0.290587095	-0.299171597	-0.299171597	-0.287884852
Akkermansia	1.887506465	0.005926575	0.372881589	-0.134079042	-0.17871913	-0.17871913	-0.177815801	-0.17871913	-0.17871913
Fibrobacter	-0.430184908	-0.425400243	-0.343137036	0.53601139	-0.133168155	-0.166327804	0.078282004	0.78102541	-0.238700601
Methanosarcina	-0.088934729	-0.088934729	-0.088934729	-0.057136011	-0.088934729	-0.088934729	-0.088934729	-0.088934729	0.35546559
Methanobrevibacter	-0.335168839	-0.041444623	0.071003613	0.013043544	0.26031525	0.081669317	0.469958523	-0.26566988	-0.290663601
Methanosphaera	-0.140047656	-0.13388626	-0.125583028	-0.11537706	-0.086564146	0.76774455	-0.128180996	-0.1330582	-0.083901709
