	7d	14d	21d	1m	2m	3m	6m	12m	mother
Faecalicoccus_pleomorphus	13.20872765	13.630102	5.916991333	3.150256176	0.152466944	0.000425588	0.000345882	0	0.005106667
Akkermansia_muciniphila	10.98733882	0.98187	2.933186	0.237377647	0	0	0.004803529	0	0
Bacteroides_heparinolyticus	10.75621059	7.102356667	5.717155333	2.888484706	0.338976944	0.003524706	0.014922353	0	0.018582549
Peptostreptococcaceae_bacterium_pGA_8	8.901904706	2.896172667	0.983317333	0.067256176	0.029731389	0.000292647	0.002597353	0	0
Collinsella_aerofaciens	8.740887647	14.34934533	4.796280667	1.287457941	0.029210833	0.004046765	0.011341176	0	0.004350588
Sharpea_azabuensis	0.133144118	13.21455133	13.566918	21.15477265	10.95647444	15.12826676	11.96999941	1.371694286	1.778048039
Methanobrevibacter_smithii	0.915026471	4.245582	1.622336	0.674075	0.010871944	0	0	0	0.002167059
Cloacibacillus_porcorum	0.326906471	2.447574667	6.003446667	7.983715	0.146858889	0.044443529	0	0	0.058433529
Olsenella_scatoligenes	0.006216471	0.402159333	5.269620667	2.648683529	4.467032778	7.870554412	0.494080294	0.177104286	0.279557255
Succiniclasticum_ruminis	0.000692941	0.275184667	2.144018667	7.218715588	19.17605806	15.75149382	27.87402559	34.56329714	26.52746902
Prevotella_ruminicola	0.13325	1.756946	2.204664	10.05352735	24.74814083	12.99933294	18.118485	18.84318786	4.895953725
Butyrivibrio_proteoclasticus	0.160442353	0.375602667	0.763956	1.130809118	2.399945278	2.170848529	2.444497941	3.174135	2.937090784
Ruminococcaceae_bacterium_P7	0	5.93333E-05	0.001331333	0.910692353	2.174901389	1.27086	8.964484118	3.459002857	2.263952941
Pseudobutyrivibrio_ruminis	1.342901176	0.27811	0.186506	1.723621176	2.729701667	1.222495882	2.808654118	1.118603929	1.348068039
Butyrivibrio_fibrisolvens	0	0	0	0	1.958373333	3.678280294	1.089752941	2.446704286	1.21495098
Escherichia_coli	1.44611	0.197860667	0.106448667	0.032199706	0.020824167	0	0.014135588	0	2.747986078
Porphyromonas_loveana	0.000691765	0.122598667	7.511120667	0.17733	0.0753375	0.001824706	0	0	0.006883529
Desulfovibrio_piger	1.383246471	1.845834	2.786896	4.145338235	0.6001675	0.002208235	0	0	0.046821176
Alloprevotella_sp_E39	0	0	0	3.603280588	0.906709167	0.055648824	0.670399706	0.370078214	2.335844314
Megasphaera_elsdenii	0.615040588	1.16584	2.61942	2.662636471	2.890260556	0.770662059	1.780795588	0.006260714	2.047519412
Streptococcus_pluranimalium	0.005474706	0	0.003915333	0	0	0	0	0	1.605886471
Lactococcus_lactis	0.001207647	0	0	0	0	0	0	0	1.032698431
Klebsiella_oxytoca	0.001277059	0	0	0	0.000745833	0	0	0	0.299534314
Eubacterium_pyruvativorans	0.000238824	0.364898667	0.694604	1.057627941	1.455878056	7.663875588	0.887715294	0.33151	0.04549549
Pseudoscardovia_radai	0	0	0	0	0.673502222	4.216557941	0.463975294	0	0.00137
Prevotella_copri	0.001160588	0.003984667	0.295792667	1.120936176	0.062331111	2.435248824	0.037292647	0.000506071	0.006757255
Eubacterium_eligens	0.111534118	0.169831333	0.162066667	0.069420588	1.020095833	2.264667353	0.120172353	0.002177143	0.009847647
Pseudoscardovia_suis	0	0.001583333	0.361740667	0.000693824	0.442279167	2.137546176	0.727720882	0.418042143	0.361282745
Prevotella_aff_ruminicola_Tc2_24	0	0	0	0	0.004771111	0.011312647	0.06455	1.0602125	1.113561961
Methanobrevibacter_millerae	0	0	0.001132	0.042137941	1.63304	0.862489118	3.622387941	0.388698571	0.05274
