	7d	14d	21d	1m	2m	3m	6m	12m
Cysteine and methionine metabolism	3.733919151	3.742410881	3.823017523	3.83518307	3.879210605	3.897737025	4.004665233	3.942900541
"Alanine, aspartate and glutamate metabolism"	3.670153045	3.666237096	3.761852694	3.813180533	3.853150436	3.878464345	3.978728177	3.937016107
"Glycine, serine and threonine metabolism"	3.657915937	3.622317661	3.710032699	3.721563318	3.741309209	3.757320097	3.860517677	3.816572696
Arginine biosynthesis	3.471731651	3.480150725	3.560265398	3.615950052	3.659821158	3.682054777	3.782544284	3.740836207
"Phenylalanine, tyrosine and tryptophan biosynthesis"	3.452093249	3.462847036	3.566319622	3.557146142	3.614897216	3.632760888	3.733116981	3.703635238
Lysine biosynthesis	3.398634325	3.430075056	3.486430479	3.533263517	3.568201724	3.58759873	3.702085721	3.644340099
Arginine and proline metabolism	3.383994789	3.339252634	3.454082271	3.433289685	3.457276186	3.480006943	3.578065884	3.554368001
Histidine metabolism	3.28171497	3.275080898	3.362293938	3.337459261	3.370142847	3.390228362	3.481585936	3.433129518
"Valine, leucine and isoleucine biosynthesis"	3.233757363	3.219322508	3.33405144	3.289811839	3.291590826	3.293362555	3.397592434	3.343999069
Phenylalanine metabolism	3.246498581	3.180125875	3.288025535	3.244771761	3.252367514	3.259115844	3.341830057	3.308350949
Tyrosine metabolism	3.179551791	3.075181855	3.223236273	3.137354111	3.133538908	3.130333768	3.217220656	3.180699201
"Valine, leucine and isoleucine degradation"	3.435047641	3.224533063	3.410439786	3.228400359	3.155336037	3.068927612	3.157758886	3.13001195
Lysine degradation	3.228913406	3.051538391	3.192567453	3.007747778	2.946452265	2.875639937	2.963315511	2.913813852
Tryptophan metabolism	3.220369632	3.01745073	3.186956335	3.014100322	2.944482672	2.854913022	2.959041392	2.904715545
