	7d	14d	21d	1m	2m	3m	6m	12m
Amino sugar and nucleotide sugar metabolism	3.804207605	3.847510965	3.910891089	3.980503318	4.07191881	4.115344196	4.232182634	4.1925117
Starch and sucrose metabolism	3.643945913	3.690550462	3.776628553	3.915188705	4.040760524	4.105237601	4.215161508	4.209112704
Glycolysis / Gluconeogenesis	3.749890841	3.768860001	3.828788748	3.892595423	3.95506207	3.964966375	4.065467672	4.028693228
Galactose metabolism	3.474216264	3.557627488	3.611298362	3.728597243	3.846708145	3.929367829	4.031166	4.002122846
Pyruvate metabolism	3.781539969	3.76930346	3.855276804	3.871105701	3.884738738	3.89795681	4.000737674	3.959947216
Pentose phosphate pathway	3.539076099	3.546419267	3.628593256	3.661244609	3.699837726	3.719745493	3.819412311	3.739176632
Fructose and mannose metabolism	3.448242413	3.491781776	3.54740546	3.596157081	3.687439775	3.715418323	3.818489822	3.778946728
Glyoxylate and dicarboxylate metabolism	3.650307523	3.572871602	3.696967641	3.672559628	3.697403723	3.704150517	3.800442121	3.753123245
Butanoate metabolism	3.566437492	3.546048866	3.668012972	3.648262406	3.660486016	3.638289535	3.736476182	3.693902741
Citrate cycle (TCA cycle)	3.534026106	3.494850022	3.607133204	3.591621038	3.602059991	3.593064432	3.682686478	3.63738965
Propanoate metabolism	3.507451061	3.435366507	3.54344718	3.477555332	3.491361694	3.432809005	3.537567257	3.502290528
Inositol phosphate metabolism	2.973589623	2.934498451	3.028977705	3.022428371	3.195899652	3.2757719	3.341236623	3.32407658
Ascorbate and aldarate metabolism	3.025305865	2.992111488	3.047664195	3.046885191	3.172018809	3.219846386	3.310055738	3.256236533
