	7d	14d	21d	1m	2m	3m	6m	12m
Amino acid metabolism	5.017696802	5.009195854	5.100460152	5.119034726	5.164905783	5.200957144	5.307371936	5.262534144
Biosynthesis of other secondary metabolites	4.51008903	4.51169624	4.599184147	4.642563437	4.711148964	4.755371697	4.860900727	4.828595456
Carbohydrate metabolism	4.439948166	4.411956238	4.511749711	4.508731669	4.541922301	4.548880563	4.652604075	4.606768188
Energy metabolism	4.15283851	4.202733458	4.261286665	4.329519912	4.419914464	4.465962515	4.585144764	4.530097198
Global and overview maps	4.321204757	4.296292151	4.398998396	4.382557322	4.43289717	4.448103144	4.551047235	4.504932777
Glycan biosynthesis and metabolism	4.281033367	4.257774541	4.34613773	4.339153196	4.369772289	4.362199639	4.456381218	4.408002396
Lipid metabolism	4.066661302	4.088525892	4.165066178	4.223236273	4.29907126	4.324303037	4.436782625	4.378088879
Metabolism of cofactors and vitamins	4.006551609	3.984527313	4.066847511	4.086324231	4.170584382	4.188197017	4.300356317	4.260238392
Metabolism of terpenoids and polyketides	3.90330708	3.860637417	3.974465636	3.988648125	4.041392685	4.05838806	4.173215415	4.138523737
Nucleotide metabolism	3.672282625	3.670802284	3.756407873	3.755493728	3.837209528	3.860517677	3.971090213	3.920697134
