	7d	14d	21d	1m	2m	3m	6m	12m
Glycerophospholipid metabolism	3.424391554	3.446070936	3.533263517	3.575880316	3.620864475	3.642266619	3.745933158	3.683227206
Sphingolipid metabolism	3.076640444	3.156549151	3.190331698	3.352375495	3.518118947	3.617314933	3.729002709	3.715334684
Fatty acid biosynthesis	3.433289685	3.357744325	3.463445032	3.45591024	3.514414921	3.541704023	3.674952948	3.645422269
Glycerolipid metabolism	3.315760491	3.365862215	3.402261382	3.474507639	3.531478917	3.557627488	3.671358003	3.606381365
Fatty acid degradation	3.326130957	3.228913406	3.352375495	3.312177356	3.419625361	3.343408594	3.458184436	3.426348574
Secondary bile acid biosynthesis	2.290034611	2.396199347	2.413299764	2.374748346	2.431363764	2.469822016	2.582063363	2.495544338
Biosynthesis of unsaturated fatty acids	2.540329475	2.396199347	2.531478917	2.447158031	2.436162647	2.426511261	2.514547753	2.444044796
Ether lipid metabolism	2.033423755	1.806179974	2.064457989	1.954242509	2.318063335	2.42975228	2.45484486	2.519827994
Steroid biosynthesis	1.591064607	1.568201724	1.633468456	1.69019608	1.903089987	2.008600172	2.103803721	2.071882007
Arachidonic acid metabolism	1.851258349	1.477121255	1.924279286	1.755874856	1.954242509	2.056904851	2.06069784	2.103803721
Primary bile acid biosynthesis	1.982271233	1.924279286	2.012837225	1.812913357	1.755874856	1.653212514	1.826074803	1.73239376
Steroid hormone biosynthesis	1.612783857	1.462397998	1.602059991	1.531478917	1.579783597	1.612783857	1.819543936	1.892094603
alpha-Linolenic acid metabolism	2.012837225	1.73239376	1.908485019	1.602059991	1.505149978	1.397940009	1.462397998	1.51851394
Linoleic acid metabolism	1.707570176	1.322219295	1.633468456	1.255272505	1.146128036	1.041392685	1.113943352	1.079181246
