	7d	14d	21d	1m	2m	3m	6m	12m
Nicotinate and nicotinamide metabolism	3.413634997	3.411282913	3.505828034	3.530711838	3.598133646	3.636989102	3.746244872	3.704064679
One carbon pool by folate	3.322426052	3.326335861	3.41313205	3.452399846	3.494154594	3.520745472	3.640083731	3.572639297
Pantothenate and CoA biosynthesis	3.39252109	3.376394442	3.475671188	3.445292769	3.48586333	3.496098992	3.596157081	3.552424846
Folate biosynthesis	3.369215857	3.300595484	3.422261451	3.352761192	3.411619706	3.43264866	3.541204691	3.487421211
Thiamine metabolism	3.261500773	3.287353773	3.353531559	3.393575203	3.411619706	3.420120848	3.538196578	3.479143248
Biotin metabolism	3.259593879	3.178113252	3.29841638	3.271609301	3.288025535	3.303843775	3.430880946	3.379486814
Riboflavin metabolism	3.138302698	3.165837625	3.240549248	3.20871002	3.278753601	3.317227349	3.410270964	3.390051496
Vitamin B6 metabolism	2.892094603	2.897077003	2.982723388	3.014100322	3.041392685	3.063708559	3.172018809	3.151982395
Ubiquinone and other terpenoid-quinone biosynthesis	3.07371835	2.939519253	3.086003706	3.008174184	3.037426498	3.056904851	3.152899596	3.149834697
Lipoic acid metabolism	3.230704314	3.025305865	3.199480915	3.045714059	3.025715384	3.004751156	3.124504225	3.080265627
Retinol metabolism	2.451786436	2.29666519	2.46834733	2.380211242	2.431363764	2.45331834	2.559906625	2.551449998
