	7d	14d	21d	1m	2m	3m	6m	12m
EC 3.2.1.1A	1.431363764	1.491361694	1.653212514	1.785329835	1.913813852	2.041392685	2.201397124	2.195899652
EC 5.3.1.26	1.176091259	0.954242509	0.954242509	0.602059991	0.544068044	0.477121255	0.477121255	0
EC 3.2.1.85	1.041392685	1.113943352	0.903089987	0.698970004	0.698970004	0.698970004	0.477121255	0
EC 3.2.1.4	2.204119983	2.45331834	2.536558443	2.904715545	2.977723605	3.033423755	3.199755177	3.275311355
EC 3.2.1.21	0	0	0	0	0.301029996	0.602059991	0.602059991	0.602059991
EC 4.2.3.4	2.206825876	2.201397124	2.264817823	2.309630167	2.342422681	2.361727836	2.478566496	2.482873584
EC 4.2.1.10	1.342422681	1.556302501	1.568201724	1.477121255	1.462397998	1.431363764	1.544068044	1.556302501
EC 6.2.1.1	1.633468456	1.954242509	2.190331698	2.307496038	2.322219295	2.336459734	2.589949601	2.5289167
EC 1.2.1.10	1.113943352	1.278753601	1.278753601	1.041392685	0.84509804	0.698970004	0.954242509	0.602059991
EC 2.8.3.1	1.113943352	1.278753601	1.204119983	1.447158031	2.049218023	2.278753601	2.67669361	2.723455672
EC 2.7.2.1	2.225309282	2.290034611	2.292256071	2.471291711	2.498310554	2.51851394	2.683047038	2.615950052
EC 4.1.1.-	2.008600172	2.071882007	2.146128036	2.243038049	2.167317335	2.089905111	2.198657087	2.045322979
EC 1.1.1.1	1.991226076	1.851258349	2.025305865	1.73239376	1.819543936	1.880813592	1.897627091	1.770852012
EC 1.2.1.3	2.23299611	2.071882007	2.086359831	1.949390007	1.968482949	1.973127854	2.1430148	2.079181246
EC 5.4.99.2	0.903089987	1.544068044	1.662757832	1.806179974	1.653212514	1.477121255	1.763427994	1.633468456
EC 2.8.3.1	1.113943352	1.278753601	1.204119983	1.447158031	2	2.278753601	2.67669361	2.723455672
EC 2.3.1.8	1.939519253	1.986771734	2.10720997	2.283301229	2.326335861	2.354108439	2.424881637	2.380211242
